GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,2009,2009,,,DOM,Dominican Republic,,,,,BTSX,Both sexes,,,,,,,,185,185.42470,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2010,2010,,AMR,Americas,,,2010,2010,,,DOM,Dominican Republic,,,,,MLE,Male,,,,,,,,224,223.73550,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2010,2010,,AMR,Americas,,,2010,2010,,,DOM,Dominican Republic,,,,,FMLE,Female,,,,,,,,134,134.06780,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2014,2014,,AMR,Americas,,,2014,2014,,,DOM,Dominican Republic,,,,,BTSX,Both sexes,,,,,,,,166,166.28450,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,2015,2015,,,DOM,Dominican Republic,,,,,MLE,Male,,,,,,,,205,205.18020,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,2015,2015,,,DOM,Dominican Republic,,,,,FMLE,Female,,,,,,,,120,120.03510,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,2015,2015,,,DOM,Dominican Republic,,,,,BTSX,Both sexes,,,,,,,,163,163.13620,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0.2,0.16362,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH3,Diarrhoeal diseases,,0.1,0.07196,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH10,Prematurity,,0.4,0.41548,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.13048,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.10160,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH13,Other Group 1 (postneonatal only),,0.1,0.06072,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0,0.04903,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0.1,0.10242,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH2,HIV/AIDS,,0,0.04217,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH7,Meningitis/encephalitis,,0,0.00463,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH7,Meningitis/encephalitis,,0,0.02944,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.05625,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH10,Prematurity,,0.3,0.25994,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.2,0.21395,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.06141,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH15,Congenital anomalies,,0.1,0.12703,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH17,Injuries,,0.1,0.09652,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,2001,2001,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH17,Injuries,,0.1,0.05232,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0.2,0.15726,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.12725,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH10,Prematurity,,0.4,0.38768,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.13906,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH13,Other Group 1 (postneonatal only),,0.1,0.06127,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0.1,0.11338,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0,0.04635,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0.1,0.11073,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH5,Tetanus,,0,0.00079,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH7,Meningitis/encephalitis,,0,0.00507,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH8,Malaria,,0,0.00012,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.05690,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH10,Prematurity,,0.2,0.24383,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.07532,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH15,Congenital anomalies,,0.1,0.10675,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH15,Congenital anomalies,,0.1,0.13498,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,2003,2003,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH17,Injuries,,0.1,0.10039,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH3,Diarrhoeal diseases,,0,0.00439,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0.2,0.15279,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH7,Meningitis/encephalitis,,0,0.01174,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.11764,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.14697,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH13,Other Group 1 (postneonatal only),,0.1,0.10468,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH13,Other Group 1 (postneonatal only),,0.1,0.06099,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,2004,2004,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0.1,0.11889,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH2,HIV/AIDS,,0,0.00059,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0.1,0.10227,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH5,Tetanus,,0,0.00078,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH7,Meningitis/encephalitis,,0,0.00519,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH8,Malaria,,0,0.00025,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH10,Prematurity,,0.2,0.24438,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.08059,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH15,Congenital anomalies,,0.1,0.11398,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH17,Injuries,,0,0.03017,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,DOM,Dominican Republic,,MONTHS1-59,1-59 months,,,,,,,,CH17,Injuries,,0.1,0.10417,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,2006,2006,,,DOM,Dominican Republic,,DAYS0-27,0-27 days,,,,,,,,CH3,Diarrhoeal diseases,,0,0.00432,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,2006,2006,,,DOM,Dominican Republic,,YEARS0-4,0-4 years,,,,,,,,CH5,Tetanus,,0,0.00050,,,,,
